3306, 8, 85, 616
4540, 8, 763, 6040
6472, 6, 190, 1472
6485, 8, 312, 2432
6957, 5, 268, 2104
7959, 7, 230, 1784
8480, 9, 602, 4744
8666, 6, 80, 592
8676, 5, 134, 1032
9864, 6, 142, 1088
10546, 6, 305, 2392
11567, 7, 242, 1880
13049, 5, 884, 7032
13221, 5, 509, 4032
13948, 6, 209, 1624
14311, 7, 371, 2912
15310, 6, 433, 3416
15448, 6, 466, 3680
15886, 6, 188, 1456
16715, 6, 693, 5496
16726, 6, 62, 448
19094, 5, 314, 2472
19713, 7, 493, 3888
20410, 5, 329, 2592
20638, 5, 1094, 8712
20822, 5, 969, 7712
21152, 9, 214, 1640
21256, 8, 829, 6568
23425, 5, 638, 5064
23566, 7, 286, 2232
24101, 5, 629, 4992
24315, 7, 932, 7400
24843, 5, 73, 544
25080, 5, 76, 568
25484, 5, 36, 248
26913, 8, 91, 664
27489, 5, 163, 1264
27567, 5, 224, 1752
28175, 6, 104, 784
29218, 6, 44, 304
29637, 6, 127, 968
31619, 5, 592, 4696
32336, 7, 96, 712
33470, 7, 364, 2856
34858, 6, 202, 1568
36188, 8, 217, 1672
36293, 5, 66, 488
37611, 5, 56, 408
38217, 5, 131, 1008
38631, 6, 635, 5032
39179, 7, 485, 3824
39618, 6, 566, 4480
42818, 8, 749, 5928
44731, 8, 426, 3344
45025, 8, 909, 7208
46325, 5, 204, 1592
46597, 6, 728, 5776
47219, 5, 130, 1000
47618, 6, 384, 3024
51817, 6, 93, 696
51821, 6, 780, 6192
52552, 8, 867, 6872
56613, 6, 779, 6184
56839, 7, 627, 4960
58141, 6, 379, 2984
58265, 5, 245, 1920
58299, 5, 379, 2992
58711, 5, 91, 688
58785, 5, 94, 712
60017, 6, 44, 304
60700, 6, 556, 4400
