604, 5, 154, 1192
812, 5, 281, 2208
2906, 5, 184, 1432
3075, 4, 176, 1376
6453, 6, 156, 1200
7283, 6, 230, 1792
11136, 7, 733, 5808
11251, 6, 134, 1024
11574, 6, 352, 2768
11642, 7, 185, 1424
13271, 6, 393, 3096
14092, 7, 376, 2952
15051, 6, 544, 4304
15305, 5, 565, 4480
16588, 5, 208, 1624
17509, 6, 743, 5896
17632, 5, 397, 3136
17739, 7, 289, 2256
18373, 5, 817, 6496
18870, 5, 84, 632
19232, 7, 33, 208
19268, 6, 191, 1480
19269, 6, 54, 384
21677, 6, 60, 432
21911, 6, 109, 824
21918, 7, 33, 208
22554, 8, 326, 2544
23144, 5, 420, 3320
23934, 6, 290, 2272
24114, 5, 408, 3224
24207, 6, 711, 5640
24329, 5, 180, 1400
24535, 8, 851, 6744
25680, 6, 49, 344
27456, 5, 135, 1040
28393, 5, 89, 672
28617, 5, 147, 1136
28631, 6, 47, 328
28711, 5, 228, 1784
29851, 6, 736, 5840
31313, 5, 41, 288
31671, 4, 71, 536
32616, 7, 476, 3752
34550, 6, 327, 2568
34914, 5, 337, 2656
35361, 5, 135, 1040
36099, 4, 134, 1040
40853, 5, 122, 936
40982, 5, 123, 944
41948, 8, 735, 5816
43930, 5, 155, 1200
44821, 5, 346, 2728
45799, 5, 155, 1200
46211, 5, 368, 2904
46546, 6, 74, 544
46594, 6, 114, 864
47317, 7, 177, 1360
48614, 7, 60, 424
52187, 8, 52, 352
53281, 6, 403, 3176
54233, 6, 96, 720
54713, 7, 268, 2088
56137, 5, 75, 560
59209, 5, 149, 1152
59834, 8, 424, 3328
