1634, 6, 162, 1248
2910, 8, 92, 672
3090, 5, 289, 2272
3626, 5, 188, 1464
5022, 5, 375, 2960
7316, 8, 813, 6440
8596, 6, 176, 1360
9680, 5, 244, 1912
10272, 6, 426, 3360
11342, 5, 213, 1664
12407, 6, 316, 2480
12460, 6, 204, 1584
12996, 5, 761, 6048
14934, 5, 74, 552
16769, 6, 339, 2664
17095, 6, 199, 1544
19315, 6, 83, 616
19816, 7, 261, 2032
22720, 6, 45, 312
23207, 6, 975, 7752
25434, 6, 265, 2072
28325, 5, 123, 944
29270, 5, 222, 1736
31261, 9, 276, 2136
32516, 5, 407, 3216
33029, 6, 200, 1552
33298, 8, 695, 5496
34322, 5, 551, 4368
35521, 5, 353, 2784
36714, 6, 276, 2160
37995, 5, 89, 672
38531, 6, 190, 1472
39323, 5, 567, 4496
39791, 5, 757, 6016
40559, 4, 188, 1472
40822, 5, 130, 1000
41170, 5, 126, 968
42719, 5, 415, 3280
43091, 5, 69, 512
43767, 14, 93, 632
43921, 5, 43, 304
43974, 8, 357, 2792
44327, 5, 89, 672
44919, 8, 135, 1016
45012, 5, 188, 1464
45573, 6, 566, 4480
45769, 5, 35, 240
46592, 7, 975, 7744
47430, 5, 124, 952
48377, 6, 131, 1000
48768, 6, 141, 1080
50750, 7, 327, 2560
51240, 6, 267, 2088
51589, 5, 165, 1280
53052, 5, 494, 3912
55480, 5, 609, 4832
56224, 5, 186, 1448
59694, 6, 580, 4592
1634, 6, 162, 1248
2910, 8, 92, 672
3090, 5, 289, 2272
3626, 5, 188, 1464
5022, 5, 375, 2960
7316, 8, 813, 6440
8596, 6, 176, 1360
9680, 5, 244, 1912
10272, 6, 426, 3360
11342, 5, 213, 1664
12407, 6, 316, 2480
12460, 6, 204, 1584
12996, 5, 761, 6048
14934, 5, 74, 552
16769, 6, 339, 2664
17095, 6, 199, 1544
19315, 6, 83, 616
19816, 7, 261, 2032
22720, 6, 45, 312
23207, 6, 975, 7752
25434, 6, 265, 2072
28325, 5, 123, 944
29270, 5, 222, 1736
31261, 9, 276, 2136
32516, 5, 407, 3216
33029, 6, 200, 1552
33298, 8, 695, 5496
34322, 5, 551, 4368
35521, 5, 353, 2784
36714, 6, 276, 2160
37995, 5, 89, 672
38531, 6, 190, 1472
39323, 5, 567, 4496
39791, 5, 757, 6016
40559, 4, 188, 1472
40822, 5, 130, 1000
41170, 5, 126, 968
42719, 5, 415, 3280
43091, 5, 69, 512
43767, 14, 93, 632
43921, 5, 43, 304
43974, 8, 357, 2792
44327, 5, 89, 672
44919, 8, 135, 1016
45012, 5, 188, 1464
45573, 6, 566, 4480
45769, 5, 35, 240
46592, 7, 975, 7744
47430, 5, 124, 952
48377, 6, 131, 1000
48768, 6, 141, 1080
50750, 7, 327, 2560
51240, 6, 267, 2088
51589, 5, 165, 1280
53052, 5, 494, 3912
55480, 5, 609, 4832
56224, 5, 186, 1448
59694, 6, 580, 4592
