358, 6, 517, 4088
977, 5, 365, 2880
1341, 7, 108, 808
1345, 5, 308, 2424
2164, 5, 71, 528
2367, 6, 207, 1608
2641, 9, 243, 1872
3552, 8, 49, 328
5080, 7, 137, 1040
6424, 6, 56, 400
6859, 5, 162, 1256
6875, 8, 230, 1776
7907, 5, 49, 352
8158, 6, 723, 5736
8260, 7, 58, 408
8555, 6, 386, 3040
9265, 6, 347, 2728
9531, 5, 64, 472
11395, 5, 272, 2136
14531, 5, 468, 3704
17523, 6, 167, 1288
20364, 7, 298, 2328
22509, 6, 71, 520
22651, 5, 123, 944
24632, 6, 73, 536
24818, 6, 55, 392
26135, 5, 390, 3080
26268, 5, 449, 3552
27173, 7, 398, 3128
29536, 5, 522, 4136
29797, 6, 47, 328
30177, 6, 651, 5160
31580, 6, 257, 2008
31633, 5, 476, 3768
32790, 6, 224, 1744
32831, 6, 32, 208
33828, 5, 926, 7368
34207, 8, 976, 7744
34540, 5, 101, 768
36910, 5, 111, 848
37184, 6, 354, 2784
38677, 6, 504, 3984
38791, 6, 192, 1488
39186, 6, 118, 896
39289, 6, 410, 3232
39433, 5, 191, 1488
42107, 5, 280, 2200
44829, 9, 395, 3088
46431, 5, 146, 1128
47248, 5, 77, 576
50675, 27, 178, 1208
50911, 6, 63, 456
54217, 6, 367, 2888
54548, 5, 354, 2792
56800, 6, 431, 3400
57493, 6, 550, 4352
